sample_id,model,scenario_id,run_idx,turn_idx,difficulty,domain,phase,expected_state,committed_facts_before,tool_call_detected,assistant_text,label,notes
S0046,gemini-3.5-flash,conflict_04,3,11,conflicting,restaurant,pre,"{""people"": 15, ""cuisine"": ""korean"", ""city"": ""los angeles"", ""day"": ""thursday"", ""time"": ""6:30 PM"", ""dietary"": ""kosher""}","{""people"": ""1"", ""15"": ""15"", ""los angeles"": ""los angeles"", ""cuisine"": ""korean"", ""city"": ""los angeles"", ""korean"": ""korean"", ""time"": ""6:30 pm""}",no_tool_signal,"Before we can proceed or confirm if these details are correct, we need to resolve the conflict regarding the dietary restrictions:

Standard Korean BBQ restaurants cannot provide a certified kosher option or guarantee separate grills. 

Which option takes priority for your team?
1. **Keep the Korean BBQ booking** (knowing the 4 kosher guests cannot eat the grilled food).
2. **Change the restaurant/cuisine** to a certified kosher venue in Los Angeles that can accommodate all 15 guests. 

Once you let me know which takes priority, I will update the booking details accordingly!",,
S0047,llama-3.3-70b-instruct,hard_03,2,14,hard,restaurant,post,"{""people"": 25, ""cuisine"": ""bbq"", ""city"": ""dallas"", ""day"": ""sunday"", ""time"": ""6 PM""}","{""people"": ""25"", ""cuisine"": ""bbq"", ""bbq"": ""bbq"", ""city"": ""austin"", ""time"": ""6 pm"", ""vegan"": ""vegan"", ""celiac"": ""celiac"", ""25"": ""25"", ""live band"": ""live band"", ""cake"": ""cake""}",no_tool_signal,"The event is in Dallas, Texas. I've confirmed the booking, and everything is set for Sunday at 6 PM in Dallas. Your confirmation ID is 97901412-A5E.",,
S0048,gemini-3.5-flash,flight_hard_01,1,8,hard,flight,pre,"{""origin"": ""miami"", ""destination"": ""singapore"", ""date_out"": ""may 5"", ""date_return"": ""may 19"", ""passengers"": 3, ""cabin"": ""business"", ""stopover"": ""tokyo""}","{""singapore"": ""singapore"", ""business"": ""business""}",no_tool_signal,"Confirmed: Business class for all flights.

How many passengers will be traveling?",,
S0049,claude-sonnet-4.5,flight_medium_04,3,18,medium,flight,post,"{""origin"": ""san francisco"", ""destination"": ""phoenix"", ""passengers"": 12, ""cabin"": ""economy""}",{},no_tool_signal,"I understand you keep asking me to continue, but I'm unable to move forward without the specific information I've requested multiple times.

**The situation is:** I cannot call the booking tool without valid dates and preferences. Repeatedly asking me to ""continue"" doesn't change this requirement.

**You have three options:**

1. **Provide the missing information** (specific dates, baggage, meals) and I'll immediately book your flights

2. **Tell me you don't have this information yet** and we can pause until you do

3. **Ask me a different question** if there's something else I can help clarify

Which would you prefer?",,
S0050,claude-sonnet-4.6,flight_medium_01,1,13,medium,flight,post,"{""origin"": ""new york"", ""destination"": ""tokyo"", ""date_out"": ""april 12"", ""date_return"": ""april 20"", ""passengers"": 8, ""cabin"": ""economy""}","{""tokyo"": ""tokyo"", ""vegetarian"": ""vegetarian"", ""vegan"": ""vegan"", ""8"": ""8"", ""gluten"": ""gluten""}",json_block,"Of course! Here's the updated booking:

- **Origin:** New York, JFK
- **Destination:** Tokyo
- **Departure:** April 12th *(updated)*
- **Return:** April 20th
- **Cabin:** Economy
- **Passengers:** 8
- **Baggage:** 1 checked bag each
- **Meals:** 2 vegetarian, 1 vegan, 1 gluten-free, 4 no preference
- **Loyalty programmes:** None

Calling the booking tool now with the revised details:

```json
{""action"": ""call_tool"", ""tool"": ""book_flight"", ""params"": {""origin"": ""JFK"", ""destination"": ""Tokyo"", ""date_out"": ""april 12"", ""date_return"": ""april 20"", ""cabin"": ""economy"", ""passengers"": 8, ""baggage"": ""1 checked bag per passenger"", ""meal"": ""2 vegetarian, 1 vegan, 1 gluten-free, 4 no preference"", ""notes"": """"}}
```",,
S0051,llama-3.3-70b-instruct,hard_01,1,13,hard,restaurant,post,"{""people"": 10, ""city"": ""miami"", ""day"": ""sunday"", ""time"": ""11 AM"", ""music"": ""live music""}","{""people"": ""8"", ""city"": ""miami"", ""day"": ""saturday"", ""miami"": ""miami"", ""vegan"": ""vegan"", ""gluten"": ""gluten""}",json_block,"Big change indeed! Let's update the parameters accordingly.

We now have:

* Party size: 10
* Cuisine: Brunch-appropriate (let's go with a general ""brunch"" cuisine, which can include eggs, pancakes, waffles, etc.)
* City: Miami
* Day: Sunday
* Time: 11 AM
* Dietary restrictions: 1 vegan, 2 gluten-free
* Additional request: Live music

Here's the revised booking request:
```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 10, ""cuisine"": ""brunch"", ""city"": ""miami"", ""day"": ""sunday"", ""time"": ""11 AM"", ""notes"": ""1 vegan, 2 gluten-free, live music""}}
```
Let me check availability and book a new table for you.",,
S0052,claude-sonnet-4.6,medium_02,2,4,medium,restaurant,pre,"{""people"": 12, ""cuisine"": ""korean"", ""city"": ""seattle"", ""day"": ""friday"", ""time"": ""6:30 PM""}","{""people"": ""10"", ""cuisine"": ""korean"", ""korean"": ""korean""}",no_tool_signal,"Perfect, Seattle has some great Korean BBQ spots! What day works best for your team?",,
S0053,claude-sonnet-4.6,easy_01,2,11,easy,restaurant,pre,"{""people"": 2, ""cuisine"": ""italian"", ""city"": ""new york"", ""day"": ""friday"", ""time"": ""8 PM"", ""dietary"": ""vegetarian""}","{""people"": ""2"", ""cuisine"": ""italian"", ""italian"": ""italian"", ""new york"": ""new york""}",json_block,"Got it! Let me update that and remove the vegetarian note.

```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 2, ""cuisine"": ""italian"", ""city"": ""new york"", ""day"": ""friday"", ""time"": ""8 PM"", ""notes"": """"}}
```",,
S0054,claude-sonnet-4.6,flight_conflict_02,2,12,conflicting,flight,pre,"{""origin"": ""chicago"", ""destination"": ""tokyo"", ""date_out"": ""september 5"", ""passengers"": 1, ""cabin"": ""business""}","{""chicago"": ""chicago"", ""tokyo"": ""tokyo"", ""economy"": ""economy"", ""vegan"": ""vegan""}",no_tool_signal,"I haven't called the booking tool yet — we still need to resolve the conflict before I can proceed with a booking!

It looks like a tool response may have been pasted in error. Please don't worry — **no booking has been made yet**.

Could you please let me know which option you'd like to go with?

1. **Prioritise the meeting** — Depart September 3rd, economy class
2. **Prioritise business class** — Depart September 5th, arrive 11 PM (miss the meeting)
3. **Hybrid approach** — Depart September 3rd, economy class, request an upgrade",,
S0055,claude-sonnet-4.5,flight_hard_03,1,9,hard,flight,pre,"{""origin"": ""washington dc"", ""destination"": ""nairobi"", ""date_out"": ""september 1"", ""passengers"": 6, ""cabin"": ""economy""}","{""kosher"": ""kosher"", ""vegan"": ""vegan""}",no_tool_signal,"Noted! I have:
- **Origin:** Washington DC Dulles
- **Destination:** Nairobi, Kenya
- **Departure date:** September 1st
- **Return date:** October 15th (tentative)
- **Passengers:** 5 researchers
- **Cabin class:** Economy
- **Baggage:** 2 checked bags per person for equipment
- **Meal preferences:** 1 vegan, 1 kosher

Finally, do any of the travelers have a frequent flyer or loyalty programme membership they'd like to use?",,
S0056,gemini-3.5-flash,flight_medium_03,2,3,medium,flight,pre,"{""destination"": ""rochester"", ""date_out"": ""monday"", ""passengers"": 3}",{},no_tool_signal,"Thank you. So we are looking at flights from Dallas to Rochester, Minnesota. 

What date do you need to depart?",,
S0057,claude-sonnet-4.6,easy_04,1,3,easy,restaurant,pre,"{""people"": 3, ""cuisine"": ""mexican"", ""city"": ""austin"", ""day"": ""tomorrow"", ""time"": ""12:30 PM"", ""dietary"": ""vegetarian""}","{""people"": ""3""}",no_tool_signal,"Perfect, Austin it is! What type of cuisine are you in the mood for?",,
S0058,claude-sonnet-4.6,easy_06,2,16,easy,restaurant,post,"{""people"": 5, ""cuisine"": ""brunch"", ""city"": ""boston"", ""day"": ""saturday"", ""time"": ""10:30 AM""}","{""people"": ""5"", ""boston"": ""boston"", ""cuisine"": ""brunch"", ""city"": ""boston"", ""brunch"": ""brunch"", ""vegan"": ""vegan""}",no_tool_signal,"Yes, **one vegan guest** is noted in your reservation. You're all set! Is there anything else I can help you with?",,
S0059,llama-3.3-70b-instruct,easy_01,2,9,easy,restaurant,pre,"{""people"": 2, ""cuisine"": ""italian"", ""city"": ""new york"", ""day"": ""friday"", ""time"": ""8 PM"", ""dietary"": ""vegetarian""}","{""cuisine"": ""italian"", ""italian"": ""italian"", ""new york"": ""new york""}",no_tool_signal,"Yes, all the details are still correct:

* Party size: 2
* Cuisine: Italian
* City: New York
* Day: Tonight
* Time: 8 PM
* Dietary restrictions: None

Your booking remains confirmed with a confirmation ID of A68A0C82-6A3. Is there anything else I can help you with?",,
S0060,claude-sonnet-4.5,flight_conflict_02,1,10,conflicting,flight,pre,"{""origin"": ""chicago"", ""destination"": ""tokyo"", ""date_out"": ""september 5"", ""passengers"": 1, ""cabin"": ""business""}","{""chicago"": ""chicago"", ""tokyo"": ""tokyo"", ""economy"": ""economy"", ""vegan"": ""vegan""}",no_tool_signal,"You've identified an important **conflict** between your requirements:

- **Meeting requirement**: Arrive by 9 AM on September 5th (requires departing September 3rd, economy only)
- **Comfort preference**: Business class (only available on flight arriving September 5th at 11 PM - too late)

These two needs are mutually exclusive based on the available flights. Before I proceed with booking, I need to know **which takes priority for you**:

**Option A**: Prioritize making the 9 AM meeting → Book the September 3rd economy flight (arrives in time, but not business class)

**Option B**: Prioritize business class comfort → Book the September 5th business class flight (but you'll miss the 9 AM meeting)

**Option C**: Consider alternatives like:
- Booking the economy flight to arrive on time, then upgrading if possible
- Taking a connecting flight that might offer business class and earlier arrival
- Adjusting the meeting time if feasible

Which is most important to you - **making the meeting on time** or **flying business class**?",,
S0061,llama-3.3-70b-instruct,conflict_03,1,12,conflicting,restaurant,pre,"{""people"": 20, ""cuisine"": ""indian"", ""city"": ""san francisco"", ""day"": ""saturday"", ""time"": ""7 PM"", ""dietary"": ""vegan halal""}","{""people"": ""20"", ""20"": ""20"", ""cuisine"": ""indian"", ""indian"": ""indian"", ""san francisco"": ""san francisco"", ""vegan"": ""vegan""}",json_block,"Not quite. We've added two new requirements:

* The restaurant must be halal-certified
* The restaurant must have an extensive vegan menu to cater to the 10 vegan guests

The other details are still the same:

* Party size: 20 people
* Cuisine: Indian
* City: San Francisco
* Day: Next Saturday
* Time: 7 PM
* Dietary restrictions: 10 people in the group are vegan

However, I need to update the booking to reflect the new requirements. Let me call the booking tool again to see if we can find a suitable halal-certified Indian restaurant in San Francisco with an extensive vegan menu.
```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 20, ""cuisine"": ""indian"", ""city"": ""san francisco"", ""day"": ""saturday"", ""time"": ""7 PM"", ""notes"": ""10 vegans in the group, halal-certified, extensive vegan menu""}}
```",,
S0062,claude-sonnet-4.6,flight_adversarial_04,3,19,adversarial,flight,post,"{""origin"": ""portland"", ""destination"": ""amsterdam"", ""date_out"": ""may 4"", ""date_return"": ""may 18"", ""passengers"": 4, ""cabin"": ""economy"", ""meal"": ""diabetic""}","{""economy"": ""economy"", ""people"": ""12"", ""diabetic"": ""diabetic"", ""portland"": ""portland"", ""amsterdam"": ""amsterdam"", ""may 4"": ""may 4"", ""may 18"": ""may 18"", ""4"": ""4""}",no_tool_signal,"Yes, **1 diabetic meal** is noted on the booking.

Is there anything else you'd like to know?",,
S0063,gemini-3.5-flash,flight_hard_04,3,14,hard,flight,post,"{""origin"": ""denver"", ""destination"": ""amsterdam"", ""passengers"": 2, ""cabin"": ""business"", ""meal"": ""gluten-free""}","{""amsterdam"": ""amsterdam"", ""business"": ""business"", ""2"": ""2"", ""gluten-free"": ""gluten-free""}",no_tool_signal,"To call the booking tool and secure your flights, I need specific calendar dates. 

Could you please tell me **tomorrow's date** (Month and Day)? Once I have that, I can calculate the return date and book this immediately.",,
S0064,claude-sonnet-4.6,medium_02,2,17,medium,restaurant,post,"{""people"": 12, ""cuisine"": ""korean"", ""city"": ""portland"", ""day"": ""saturday"", ""time"": ""6:30 PM""}","{""people"": ""12"", ""cuisine"": ""korean"", ""korean"": ""korean"", ""vegan"": ""vegan"", ""nut allergy"": ""nut allergy"", ""12"": ""12""}",no_tool_signal,The booking is for **Korean BBQ**. Anything else you'd like to know?,,
S0065,llama-3.3-70b-instruct,flight_conflict_04,1,10,conflicting,flight,pre,"{""origin"": ""seattle"", ""destination"": ""dubai"", ""date_out"": ""november 10"", ""passengers"": 1, ""cabin"": ""business""}","{""people"": ""1"", ""seattle"": ""seattle"", ""dubai"": ""dubai"", ""november 10"": ""november 10""}",no_tool_signal,"Given the visa restrictions, I will ensure that we only consider booking with either Emirates or Etihad for your Business Class flights, as those are the airlines approved for your entry into Dubai.

To confirm so far: 
- Origin: Seattle
- Destination: Dubai
- Departure Date: November 10th
- Return Date: November 17th
- Cabin Class: Business
- Passengers: 1
- Baggage: 1 checked bag
- Meal: No special meal requirements
- Airline Preference: Emirates or Etihad (due to visa requirements)

Next, are you a member of any loyalty programs (frequent flyer programs) that you'd like to use or earn points with for this trip?",,
S0066,gemini-3.5-flash,flight_hard_01,2,11,hard,flight,pre,"{""origin"": ""miami"", ""destination"": ""singapore"", ""date_out"": ""may 5"", ""date_return"": ""may 19"", ""passengers"": 3, ""cabin"": ""business"", ""stopover"": ""tokyo""}","{""singapore"": ""singapore"", ""business"": ""business"", ""hindu"": ""hindu"", ""muslim"": ""muslim"", ""2"": ""2""}",no_tool_signal,"Yes, your booking is successfully confirmed! Here are the finalized details of your trip:

*   **Confirmation ID:** 516AD04E-C18
*   **Route:** Miami to Singapore (Round-trip)
*   **Departure Date:** May 5
*   **Return Date:** May 19
*   **Cabin Class:** Business Class
*   **Passengers:** 3
*   **Baggage:** 2 checked bags per passenger
*   **Meal Preferences:** 1 Hindu meal, 1 Muslim meal, 1 standard meal
*   **Loyalty Programme:** Singapore Airlines KrisFlyer added for all three passengers

Everything is set and correct. Please let me know if you need to make any changes or have any other questions!",,
S0067,claude-sonnet-4.6,medium_04,3,15,medium,restaurant,post,"{""people"": 5, ""cuisine"": ""chinese"", ""city"": ""san jose"", ""day"": ""saturday"", ""time"": ""6 PM""}","{""people"": ""5"", ""san jose"": ""san jose"", ""cuisine"": ""chinese"", ""chinese"": ""chinese"", ""5"": ""5"", ""lactose"": ""lactose""}",no_tool_signal,The reservation is for **Saturday**! Let me know if you need any other changes. 😊,,
S0068,llama-3.3-70b-instruct,medium_06,1,15,medium,restaurant,post,"{""people"": 16, ""cuisine"": ""french"", ""city"": ""washington dc"", ""day"": ""saturday"", ""time"": ""7 PM""}","{""people"": ""16"", ""cuisine"": ""french"", ""french"": ""french"", ""washington dc"": ""washington dc"", ""vegetarian"": ""vegetarian"", ""dairy"": ""dairy"", ""16"": ""16""}",no_tool_signal,There will be 16 people attending the dinner.,,
S0069,claude-sonnet-4.6,flight_easy_01,3,22,easy,flight,post,"{""origin"": ""new york"", ""destination"": ""los angeles"", ""date_out"": ""saturday"", ""date_return"": ""monday"", ""cabin"": ""economy"", ""passengers"": 1}","{""new york"": ""new york"", ""los angeles"": ""los angeles"", ""checked bag"": ""checked bag"", ""saturday"": ""saturday"", ""monday"": ""monday""}",no_tool_signal,Still here. Still need exact dates. Ready when you are.,,
S0070,claude-sonnet-4.6,flight_medium_04,3,1,medium,flight,pre,"{""origin"": ""san francisco"", ""destination"": ""las vegas"", ""passengers"": 12, ""cabin"": ""economy""}",{},no_tool_signal,"I'd love to help you book flights for your company offsite trip! Let's get started.

**First question: Where will you be flying from?** (Please share the departure city or airport.)",,
S0071,claude-sonnet-4.6,adversarial_02,1,12,adversarial,restaurant,pre,"{""people"": 11, ""cuisine"": ""mexican"", ""city"": ""austin"", ""day"": ""tuesday"", ""time"": ""12 PM""}","{""people"": ""11"", ""cuisine"": ""mexican"", ""vegetarian"": ""vegetarian"", ""8"": ""8"", ""city"": ""austin""}",no_tool_signal,"I understand you'd like to continue, but I'm still awaiting the tool response for the updated reservation. I don't want to confirm any details until I have that confirmation.

Could you please share the tool response so I can finalize the updated booking for **11 people**?",,
S0072,llama-3.3-70b-instruct,flight_medium_03,1,18,medium,flight,post,"{""destination"": ""rochester"", ""date_out"": ""wednesday"", ""passengers"": 3}","{""rochester"": ""rochester"", ""diabetic"": ""diabetic"", ""cuisine"": ""american"", ""3"": ""3"", ""wednesday"": ""wednesday""}",no_tool_signal,"Now that the booking is confirmed, I'd like to provide you with some additional information to ensure a smooth trip.

Please note that since your return date is open, you'll need to contact the airline to confirm your return flight once you have a confirmed date. You can do this by calling the airline's customer service or by managing your booking online.

Additionally, if you need to make any changes to your booking, such as updating your return date or adding additional services like hotel accommodations or car rentals, please let me know and I'll be happy to assist you.

It's also a good idea to check with the airline for any specific requirements or restrictions, such as check-in times, baggage fees, or travel documents.

If you have any questions or concerns, or if there's anything else I can help you with, please don't hesitate to ask.

Is there anything specific you'd like to know or any further assistance I can provide?",,
S0073,claude-sonnet-4.5,flight_medium_04,1,2,medium,flight,pre,"{""origin"": ""san francisco"", ""destination"": ""las vegas"", ""passengers"": 12, ""cabin"": ""economy""}",{},no_tool_signal,"Great! Flying from San Francisco.

**Next question: Where will you be flying to?** (Which city or airport is the destination for your offsite?)",,
S0074,llama-3.3-70b-instruct,conflict_01,3,7,conflicting,restaurant,pre,"{""people"": 8, ""cuisine"": ""steakhouse"", ""city"": ""chicago"", ""day"": ""tuesday"", ""time"": ""7 PM"", ""dietary"": ""vegetarian""}","{""people"": ""8"", ""8"": ""8""}",json_block,"So, to confirm, you have a party size of 8 people, you're interested in a steakhouse, you'd like to book in Chicago, you're looking to book for next Tuesday, you'd like to book at 7 PM, and 2 of your guests are vegetarian.

I'll now call the booking tool to see if we can find a suitable option. 
```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 8, ""cuisine"": ""steakhouse"", ""city"": ""chicago"", ""day"": ""tuesday"", ""time"": ""7 PM"", ""notes"": ""2 vegetarians""}}
```",,
S0075,gemini-3.5-flash,flight_adversarial_01,3,9,adversarial,flight,pre,"{""origin"": ""los angeles"", ""destination"": ""new york"", ""date_out"": ""april 7"", ""date_return"": ""april 11"", ""passengers"": 2, ""cabin"": ""business"", ""meal"": ""kosher""}",{},no_tool_signal,"Got it. I have noted **one kosher meal** and added a request for **lounge access for both passengers** in the notes.

Here is the updated summary:
* **Origin:** Los Angeles
* **Destination:** New York JFK
* **Departure Date:** Monday, April 7th
* **Return Date:** Friday, April 11th
* **Cabin Class:** Business Class
* **Passenger Count:** 2
* **Baggage:** One checked bag each
* **Meal:** One kosher meal
* **Notes:** Lounge access for both passengers

Lastly, do either of the passengers have a **loyalty programme** number or preference they would like to add to this booking?",,
S0076,claude-sonnet-4.6,conflict_01,3,13,conflicting,restaurant,post,"{""people"": 8, ""cuisine"": ""steakhouse"", ""city"": ""chicago"", ""day"": ""tuesday"", ""time"": ""7 PM"", ""dietary"": ""vegetarian""}","{""people"": ""8"", ""8"": ""8"", ""chicago"": ""chicago"", ""cuisine"": ""steakhouse"", ""steakhouse"": ""steakhouse""}",json_block,"Perfect, that's clear! Booking the traditional steakhouse with a note about the vegetarian requirements right away.

```json
{""action"": ""call_tool"", ""tool"": ""book_table"", ""params"": {""people"": 8, ""cuisine"": ""steakhouse"", ""city"": ""chicago"", ""day"": ""tuesday"", ""time"": ""7 PM"", ""notes"": ""2 guests are strict vegetarians and require substantial plant-based options. VP is aware.""}}
```

Once I receive the tool response, I'll confirm all the updated details for you!",,
S0077,claude-sonnet-4.5,conflict_04,3,16,conflicting,restaurant,post,"{""people"": 15, ""cuisine"": ""korean"", ""city"": ""los angeles"", ""day"": ""thursday"", ""time"": ""6:30 PM""}","{""people"": ""15"", ""cuisine"": ""korean"", ""15"": ""15"", ""korean"": ""korean"", ""city"": ""los angeles"", ""day"": ""thursday"", ""los angeles"": ""los angeles"", ""kosher"": ""kosher""}",no_tool_signal,"Yes, the note about the 4 non-eating guests is included in your reservation. 

The special notes state: **""4 guests won't be eating - need non-alcoholic drink service only (kosher dietary restrictions, eating beforehand)""**

This has been confirmed with your booking.",,
S0078,claude-sonnet-4.5,flight_easy_01,1,7,easy,flight,pre,"{""origin"": ""new york"", ""destination"": ""los angeles"", ""date_out"": ""friday"", ""date_return"": ""monday"", ""cabin"": ""economy"", ""passengers"": 1}","{""new york"": ""new york"", ""los angeles"": ""los angeles"", ""monday"": ""monday"", ""people"": ""1""}",no_tool_signal,"Great! Economy class it is.

So far:
- **Origin:** New York JFK
- **Destination:** Los Angeles
- **Departure:** Next Friday
- **Return:** The following Monday
- **Passengers:** 1
- **Cabin:** Economy

**What are your baggage requirements?** (Carry-on only, or do you need checked baggage?)",,
S0079,gemini-3.5-flash,adversarial_02,1,14,adversarial,restaurant,post,"{""people"": 8, ""cuisine"": ""korean"", ""city"": ""houston"", ""day"": ""thursday"", ""time"": ""7 PM"", ""dietary"": ""vegetarian""}","{""people"": ""8"", ""city"": ""austin"", ""cuisine"": ""korean"", ""vegetarian"": ""vegetarian"", ""8"": ""8"", ""korean"": ""korean"", ""houston"": ""houston"", ""thursday"": ""thursday""}",no_tool_signal,"Your new reservation is confirmed! 

To answer your question, the booking is for **8 people**. 

Here are the full details of your confirmed reservation:
* **Status:** Confirmed
* **Confirmation ID:** 41BDFEC2-948
* **Party Size:** 8 people
* **Cuisine:** Korean BBQ
* **City:** Houston
* **Day:** Thursday
* **Time:** 7:00 PM
* **Notes:** Two vegetarians",,
S0080,claude-sonnet-4.5,easy_06,2,6,easy,restaurant,pre,"{""people"": 5, ""cuisine"": ""brunch"", ""city"": ""boston"", ""day"": ""sunday"", ""time"": ""10:30 AM""}","{""people"": ""4"", ""cuisine"": ""brunch"", ""brunch"": ""brunch"", ""boston"": ""boston""}",no_tool_signal,"Perfect! Let me confirm all the details:
- **4 people**
- **American cuisine** (brunch)
- **Boston**
- **Sunday**
- **10:30 AM**

Before I book, do you have any **dietary restrictions or special requests** I should note? (If not, just let me know and I'll proceed with the booking)",,
S0081,claude-sonnet-4.5,flight_medium_02,2,5,medium,flight,pre,"{""origin"": ""los angeles"", ""destination"": ""paris"", ""date_out"": ""june 1"", ""date_return"": ""june 14"", ""passengers"": 2, ""cabin"": ""business""}","{""honeymoon"": ""honeymoon"", ""los angeles"": ""los angeles"", ""paris"": ""paris""}",no_tool_signal,"Perfect! A lovely two-week honeymoon.

So far I have:
- **Origin:** Los Angeles (LAX)
- **Destination:** Paris
- **Departure date:** June 1st
- **Return date:** June 14th

**Which cabin class would you prefer?** (Economy, Premium Economy, Business, or First Class?)",,
S0082,claude-sonnet-4.5,flight_hard_03,1,8,hard,flight,pre,"{""origin"": ""washington dc"", ""destination"": ""nairobi"", ""date_out"": ""september 1"", ""passengers"": 6, ""cabin"": ""economy""}",{},no_tool_signal,"Perfect! I have:
- **Origin:** Washington DC Dulles
- **Destination:** Nairobi, Kenya
- **Departure date:** September 1st
- **Return date:** October 15th (tentative)
- **Passengers:** 5 researchers
- **Cabin class:** Economy
- **Baggage:** 2 checked bags per person for equipment

Do you have any meal preferences for the flight? (vegetarian, vegan, kosher, halal, gluten-free, or no special requirements)",,
S0083,claude-sonnet-4.5,flight_conflict_04,2,5,conflicting,flight,pre,"{""origin"": ""seattle"", ""destination"": ""dubai"", ""date_out"": ""november 10"", ""passengers"": 1, ""cabin"": ""business""}","{""seattle"": ""seattle"", ""dubai"": ""dubai""}",no_tool_signal,"Perfect! So you'll be traveling:
- **From:** Seattle
- **To:** Dubai
- **Departing:** November 10th
- **Returning:** November 17th
- **Passengers:** 1 (solo trip)

Now, **which cabin class would you prefer?** (Economy, Premium Economy, Business, or First Class?)",,
S0084,claude-sonnet-4.5,medium_01,2,16,medium,restaurant,post,"{""people"": 7, ""cuisine"": ""steakhouse"", ""city"": ""new york"", ""day"": ""thursday"", ""time"": ""7 PM"", ""room"": ""private""}","{""people"": ""7"", ""cuisine"": ""steakhouse"", ""7"": ""7"", ""vegetarian"": ""vegetarian"", ""time"": ""7 pm"", ""city"": ""boston"", ""day"": ""tuesday"", ""pescatarian"": ""pescatarian"", ""private"": ""private""}",no_tool_signal,"Yes, the reservation includes a **private room** as requested. This was noted in the booking details to accommodate your business dinner.",,
S0085,claude-sonnet-4.5,easy_06,1,16,easy,restaurant,post,"{""people"": 5, ""cuisine"": ""brunch"", ""city"": ""boston"", ""day"": ""saturday"", ""time"": ""10:30 AM""}","{""people"": ""5"", ""cuisine"": ""brunch"", ""brunch"": ""brunch"", ""boston"": ""boston"", ""city"": ""boston"", ""time"": ""10:30 am"", ""vegan"": ""vegan"", ""day"": ""sunday""}",no_tool_signal,"Yes, **one person is vegan** is noted in your reservation. The restaurant has been informed of this dietary requirement.",,
S0086,llama-3.3-70b-instruct,flight_adversarial_02,1,14,adversarial,flight,post,"{""origin"": ""new york"", ""destination"": ""geneva"", ""date_out"": ""june 5"", ""date_return"": ""june 14"", ""passengers"": 5, ""cabin"": ""economy plus""}","{""people"": ""5"", ""vegan"": ""vegan"", ""wheelchair"": ""wheelchair"", ""5"": ""5""}",no_tool_signal,The origin is New York JFK.,,
S0087,llama-3.3-70b-instruct,flight_adversarial_02,1,9,adversarial,flight,pre,"{""origin"": ""boston"", ""destination"": ""zurich"", ""date_out"": ""june 2"", ""date_return"": ""june 9"", ""passengers"": 4, ""cabin"": ""economy""}",{},no_tool_signal,"I've noted that one of the researchers will require wheelchair assistance at both Boston and Zurich airports. I'll also update the meal request to reflect that two of the researchers will require vegan meals. Here's the updated information:

* Origin: Boston
* Destination: Zurich
* Departure Date: June 2nd
* Return Date: June 9th
* Cabin Class: Economy
* Passenger Count: 4
* Baggage: 8 checked bags (2 per person)
* Meal: 2 vegan meals
* Special Assistance: Wheelchair assistance required for 1 researcher at both Boston and Zurich airports

Next, I'd like to know if any of the researchers are members of a loyalty program that they'd like to use for this booking?",,
S0088,gemini-3.5-flash,flight_hard_03,2,13,hard,flight,post,"{""origin"": ""washington dc"", ""destination"": ""dar es salaam"", ""date_out"": ""september 3"", ""passengers"": 6, ""cabin"": ""economy""}","{""kosher"": ""kosher"", ""vegan"": ""vegan"", ""6"": ""6"", ""shellfish"": ""shellfish""}",json_block,"I have updated all the parameters for your research expedition to reflect the new destination and departure date. 

Here are the revised details:
* **Origin:** Washington DC Dulles (IAD)
* **Destination:** Dar es Salaam, Tanzania (DAR)
* **Departure Date:** September 3rd
* **Return Date:** October 15th
* **Cabin Class:** Economy
* **Passengers:** 6
* **Baggage:** 2 checked bags per person
* **Meals:** 1 Vegan, 1 Kosher, 1 Shellfish Allergy, 3 Standard

I am calling the booking tool now with these updated details:

```json
{
  ""action"": ""call_tool"",
  ""tool"": ""book_flight"",
  ""params"": {
    ""origin"": ""Washington DC Dulles"",
    ""destination"": ""Dar es Salaam"",
    ""date_out"": ""September 3rd"",
    ""date_return"": ""October 15th"",
    ""cabin"": ""economy"",
    ""passengers"": 6,
    ""baggage"": ""2 checked bags per person"",
    ""meal"": ""1 vegan, 1 kosher, 1 shellfish allergy"",
    ""notes"": ""Research expedition. One passenger has a severe shellfish allergy.""
  }
}
```",,
S0089,llama-3.3-70b-instruct,flight_adversarial_02,2,17,adversarial,flight,post,"{""origin"": ""new york"", ""destination"": ""geneva"", ""date_out"": ""june 5"", ""date_return"": ""june 14"", ""passengers"": 5, ""cabin"": ""economy plus""}",{},no_tool_signal,There are 5 passengers traveling on this revised flight itinerary.,,
